Word,Guess,Actual,Predicted,Game-Status,word-length
ALBUMS,AL***S,1,0,incomplete,6
FOOTWEAR,*OOT*EAR,1,0,incomplete,8
LENDING,LENDING,1,1,correct,7
REPRESENTS,RE*RESENTS,1,0,incomplete,10
CONSIST,CONSIST,1,1,correct,7
DANCE,DA**E,1,0,incomplete,5
PREGNANT,*REGNANT,1,0,incomplete,8
HORMONE,*OR*ONE,1,0,incomplete,7
LEISURE,*EIS*RE,1,0,incomplete,7
CONTENT,CONTENT,1,1,correct,7
EMPLOYMENT,EMPLOYMENT,1,1,correct,10
VILLA,*ILLA,1,0,incomplete,5
LINKS,LINKS,1,1,correct,5
FARMS,*AR*S,1,0,incomplete,5
STATEMENTS,STATEMENTS,1,1,correct,10
ENTRIES,ENTR*ES,1,0,incomplete,7
KENNETH,*ENNET*,1,0,incomplete,7
GROUNDS,GROUNDS,1,1,correct,7
FLEXIBILITY,**E*I*I*IT*,1,0,incomplete,11
NEXTEL,NE*TEL,1,0,incomplete,6
BUILDER,**I*DER,1,0,incomplete,7
FRAME,*RA*E,1,0,incomplete,5
STAMP,STAMP,1,1,correct,5
RELEVANCE,RELE*ANCE,1,0,incomplete,9
LIONS,L*O*S,1,0,incomplete,5
OBLIGATIONS,OBLIGATIONS,1,1,correct,11
COMFORT,CO**ORT,1,0,incomplete,7
SHELF,SHELF,1,1,correct,5
ANCIENT,AN*IENT,1,0,incomplete,7
SONIC,SO**C,1,0,incomplete,5
CLASSIFIED,CLASSI*IED,1,0,incomplete,10
PSYCHIATRY,PSYCHIATRY,1,1,correct,10
LOUISE,L**ISE,1,0,incomplete,6
SNOWBOARD,SNO**OAR*,1,0,incomplete,9
NEUTRAL,NEUTRAL,1,1,correct,7
CHAIRMAN,CHAIRMAN,1,1,correct,8
BASEBALL,BASEBALL,1,1,correct,8
MILFS,MILFS,1,1,correct,5
ECONOMY,E**N***,1,0,incomplete,7
APACHE,A*A**E,1,0,incomplete,6
SUPPORT,SUPPORT,1,1,correct,7
RESISTANT,RESISTANT,1,1,correct,9
ARRIVALS,ARRIVALS,1,1,correct,8
CONJUNCTION,CON*UNCTION,1,0,incomplete,11
DESKTOPS,DESKTOPS,1,1,correct,8
MARION,MARION,1,1,correct,6
FEVER,*E*ER,1,0,incomplete,5
GABRIEL,GABRIEL,1,1,correct,7
PLANT,PLANT,1,1,correct,5
